=== xe48 lane 0 (phy 0xc1) ===
  0x80fc: 0x0013
  0x80fd: 0x0010
  0x80fe: 0xeec0
  0x80ff: 0x80ff
  0x8100: 0x08e4
  0x8101: 0x00e4
  0x8102: 0x009c
  0x8103: 0x0200
  0x8104: 0x8091
  0x8105: 0x8000
  0x8106: 0x6000
  0x8107: 0x0000
  0x8108: 0x0000
  0x8109: 0x1970
  0x810a: 0x0000
  0x810b: 0x0000
  0x810c: 0x0000
  0x810d: 0x0064
  0x810e: 0x0809
  0x810f: 0x810f
  0x8110: 0x0001
  0x8111: 0x1020
  0x8112: 0x9c00
  0x8113: 0x9c00
  0x8114: 0x0000
  0x8115: 0x0000
  0x8116: 0x0000
  0x8117: 0x0000
  0x8118: 0x0000
  0x8119: 0x0000
  0x811a: 0x0000
  0x811b: 0x0000
  0x811c: 0x0000
  0x811d: 0x0000
  0x811e: 0x0000
  0x811f: 0x0000
  0x8120: 0x0000
  0x8121: 0x8b08
  0x8122: 0xf227
  0x8123: 0x00ff
  0x8124: 0x0018
  0x8125: 0x0881
  0x8126: 0x0280
  0x8127: 0x0000
  0x8128: 0x0000
  0x8129: 0x8000
  0x812a: 0x2800
  0x812b: 0x2704
  0x812c: 0x0000
  0x812d: 0x0000
  0x812e: 0x0000
  0x812f: 0x812f
  0x8130: 0x000f
  0x8131: 0x0000
  0x8132: 0xbebc
  0x8133: 0x0b71
  0x8134: 0x16e2
  0x8135: 0x0052
  0x8136: 0x01f0
  0x8137: 0x01f0
  0x8138: 0x02b6
  0x8139: 0x17a2
  0x813a: 0x0014
  0x813b: 0x594f
  0x813c: 0x2a27
  0x813d: 0xffff
  0x813e: 0x0000
  0x813f: 0x813f
  0x8140: 0x0000
  0x8141: 0x09fb
  0x8142: 0x0000
  0x8143: 0x0000
  0x8144: 0x0000
  0x8145: 0x0000
  0x8146: 0x0000
  0x8147: 0x0000
  0x8148: 0x0000
  0x8149: 0x0000
  0x814a: 0x0000
  0x814b: 0x0000
  0x814c: 0x8f0d
  0x814d: 0x0b71
  0x814e: 0x16e2
  0x814f: 0x814f
  0x8150: 0x00bc
  0x8151: 0x0000
  0x8152: 0xb406
  0x8153: 0x0107
  0x8154: 0x0000
  0x8155: 0x0003
  0x8156: 0x0107
  0x8157: 0x0000
  0x8158: 0x0008
  0x8159: 0x0008
  0x815a: 0x0000
  0x815b: 0x0000
  0x815c: 0x0000
  0x815d: 0x0100
  0x815e: 0x002d
  0x815f: 0x815f
  0x8160: 0x0020
  0x8161: 0x5200
  0x8162: 0x13ba
  0x8163: 0x1770
  0x8164: 0x0000
  0x8165: 0xc000
  0x8166: 0x0000
  0x8167: 0x0000
  0x8168: 0x0000
  0x8169: 0x00e4
  0x816a: 0x00e4
  0x816b: 0x00e4
  0x816c: 0x00e4
  0x816d: 0x0003
  0x816e: 0x0000
  0x816f: 0x816f
  0x8170: 0x4081
  0x8171: 0x0006
  0x8172: 0x0000
  0x8173: 0x0000
  0x8174: 0x0000
  0x8175: 0x0000
  0x8176: 0x0000
  0x8177: 0x0000
  0x8178: 0x0000
  0x8179: 0x0000
  0x817a: 0x0000
  0x817b: 0x0000
  0x817c: 0x0000
  0x817d: 0x0000
  0x817e: 0x0000
  0x817f: 0x817f
  0x8180: 0x0000
  0x8181: 0x0000
  0x8182: 0x0000
  0x8183: 0x0000
  0x8184: 0x0000
  0x8185: 0x0000
  0x8186: 0x0000
  0x8187: 0x0000
  0x8188: 0x0000
  0x8189: 0x0000
  0x818a: 0x0000
  0x818b: 0x0000
  0x818c: 0x0000
  0x818d: 0x0000
  0x818e: 0x0000
  0x818f: 0x818f
  0x8190: 0x000e
  0x8191: 0x0000
  0x8192: 0x0000
  0x8193: 0x0000
  0x8194: 0x0000
  0x8195: 0x0000
  0x8196: 0x0000
  0x8197: 0x0000
  0x8198: 0x0000
  0x8199: 0x0000
  0x819a: 0x0000
  0x819b: 0x0000
  0x819c: 0x0000
  0x819d: 0x0000
  0x819e: 0x0000
  0x819f: 0x819f
  0x81a0: 0x0000
  0x81a1: 0x0000
  0x81a2: 0x0000
  0x81a3: 0x0000
  0x81a4: 0x0000
  0x81a5: 0x0000
  0x81a6: 0x0000
  0x81a7: 0x0000
  0x81a8: 0x0000
  0x81a9: 0x0000
  0x81aa: 0x0000
  0x81ab: 0x0000
  0x81ac: 0x0000
  0x81ad: 0x0000
  0x81ae: 0x0000
  0x81af: 0x81af
  0x81b0: 0x0000
  0x81b1: 0x0000
  0x81b2: 0x0000
  0x81b3: 0x0000
  0x81b4: 0x0000
  0x81b5: 0x0000
  0x81b6: 0x0000
  0x81b7: 0x0000
  0x81b8: 0x0000
  0x81b9: 0x0000
  0x81ba: 0x0000
  0x81bb: 0x0000
  0x81bc: 0x0000
  0x81bd: 0x0000
  0x81be: 0x0000
  0x81bf: 0x81bf
  0x81c0: 0x0000
  0x81c1: 0x0000
  0x81c2: 0x0000
  0x81c3: 0x0000
  0x81c4: 0x0000
  0x81c5: 0x0000
  0x81c6: 0x0000
  0x81c7: 0x0000
  0x81c8: 0x0000
  0x81c9: 0x0000
  0x81ca: 0x0000
  0x81cb: 0x0000
  0x81cc: 0x0000
  0x81cd: 0x0000
  0x81ce: 0x0000
  0x81cf: 0x81cf
  0x81d0: 0xaff0
  0x81d1: 0x0000
  0x81d2: 0x2727
  0x81d3: 0x2727
  0x81d4: 0x000f
  0x81d5: 0x0000
  0x81d6: 0x0000
  0x81d7: 0x0000
  0x81d8: 0x0100
  0x81d9: 0x4e18
  0x81da: 0x4e18
  0x81db: 0x4e18
  0x81dc: 0x4e18
  0x81dd: 0x8000
  0x81de: 0x0f0f
  0x81df: 0x81df
  0x81e0: 0xee7b
  0x81e1: 0xee7b
  0x81e2: 0xee7b
  0x81e3: 0xee7b
  0x81e4: 0x8227
  0x81e5: 0x7227
  0x81e6: 0x5227
  0x81e7: 0x5227
  0x81e8: 0xffa1
  0x81e9: 0xff9c
  0x81ea: 0xffb6
  0x81eb: 0xffb1
  0x81ec: 0x0021
  0x81ed: 0x0002
  0x81ee: 0x0001
  0x81ef: 0x81ef
  0x81f0: 0x0103
  0x81f1: 0x0001
  0x81f2: 0x0000
  0x81f3: 0x0000
  0x81f4: 0x0000
  0x81f5: 0x0000
  0x81f6: 0x0000
  0x81f7: 0x0000
  0x81f8: 0x0000
  0x81f9: 0x0000
  0x81fa: 0x0000
  0x81fb: 0x0000
  0x81fc: 0x0000
  0x81fd: 0x22a6
